"filename", "language", "Markdown", "YAML", "Go", "Shell Script", "Go Module File", "Python", "pip requirements", "C++", "Makefile", "CMake", "CMake Cache", "JavaScript", "CSS", "HTML", "TypeScript", "Docker", "Go Checksum File", "comment", "blank", "total"
"/home/sachin-kumar/Desktop/coding/1/math_solver/requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/home/sachin-kumar/Desktop/coding/1/math_solver/solve.py", "Python", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 36
"/home/sachin-kumar/Desktop/coding/1/math_solver/tests/test_data.py", "Python", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 26
"/home/sachin-kumar/Desktop/coding/1/math_solver/tests/test_solvers.py", "Python", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 28
"/home/sachin-kumar/Desktop/coding/1/pkg/audit/auditor.go", "Go", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 75
"/home/sachin-kumar/Desktop/coding/1/pkg/audit/auditor_test.go", "Go", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 52
"/home/sachin-kumar/Desktop/coding/1/pkg/cli/shell.go", "Go", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 78
"/home/sachin-kumar/Desktop/coding/1/pkg/finance/backtester.go", "Go", 0, 0, 268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 61, 366
"/home/sachin-kumar/Desktop/coding/1/pkg/finance/brokerage/broker.go", "Go", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 13, 63
"/home/sachin-kumar/Desktop/coding/1/pkg/finance/brokerage/mock.go", "Go", 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27, 166
"/home/sachin-kumar/Desktop/coding/1/pkg/finance/brokerage/zerodha.go", "Go", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 17, 70
"/home/sachin-kumar/Desktop/coding/1/pkg/finance/correlation.go", "Go", 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 32, 179
"/home/sachin-kumar/Desktop/coding/1/pkg/finance/indicators.go", "Go", 0, 0, 298, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 52, 382
"/home/sachin-kumar/Desktop/coding/1/pkg/finance/models.go", "Go", 0, 0, 469, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 68, 621
"/home/sachin-kumar/Desktop/coding/1/pkg/finance/news/rss.go", "Go", 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 31, 189
